OBJECTID,LSTRNMID,LSTRNM,RSTRNMID,RSTRNM,postcode,DISTRICT,GISID,EINDSTRNM,EINDGEOM,LABEL_LSTRNM,LABEL_RSTRNM,RRSTRAATCODE_RSTRNM,RRSTRAATCODE_LSTRNM,RRSTRAATCODE_POSTCODE_LSTRNM,RRSTRAATCODE_POSTCODE_RSTRNM,STRAATNAAMID_12,RRSTRAATCODE_12,SHAPE_Length
14286,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4635502040,,, , ,,,,,,,60.3884014455987
14287,-9, ,-9, ,2050,Antwerpen,1400532050,,, , ,,,,,,,28.8928526807934
14288,-9, ,-9, ,2610,Wilrijk,4752962610,,, , ,,,,,,,369.726119559972
14289,-9, ,-9, ,2180,Ekeren,4206472180,,, , ,,,,,,,36.3357626502411
14290,-9, ,-9, ,2180,Ekeren,785242180,,, , ,,,,,,,62.3751269119536
14291,-9, ,-9, ,2100,Deurne,1311412100,,, , ,,,,,,,34.2547286608398
14292,-9, ,-9, ,2170,Merksem,1326382170,,, , ,,,,,,,35.7104533474544
14293,-9, ,-9, ,2610,Wilrijk,855672610,,, , ,,,,,,,75.6206630999757
14294,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,1106352040,,, , ,,,,,,,186.300153634365
14295,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,1079472040,,, , ,,,,,,,55.0043029589631
14296,-9, ,-9, ,2610,Wilrijk,1284472610,,, , ,,,,,,,125.68600866469
14297,-9, ,-9, ,2180,Ekeren,4464592180,,, , ,,,,,,,48.7828733319419
14298,-9, ,-9, ,2610,Wilrijk,4812932610,,, , ,,,,,,,15.5038401078671
14299,-9, ,-9, ,2610,Wilrijk,4222492610,,, , ,,,,,,,78.5563281594528
14300,-9, ,-9, ,2020,Antwerpen,4935552020,,, , ,,,,,,,28.4617286550091
14301,-9, ,-9, ,2170,Merksem,4356602170,,, , ,,,,,,,38.0214317236281
14302,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4664252040,,, , ,,,,,,,58.9868358853459
14303,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4874852040,,, , ,,,,,,,64.5484414593123
