,LSTRNM,postcode,DISTRICT,lat,lon
261,Meir,2000,Antwerpen,51.2183922,4.4050973
262,Meirbrug,2000,Antwerpen,51.2184891,4.4044245
263,Meistraat,2000,Antwerpen,51.2158055,4.4105626
264,Melkmarkt,2000,Antwerpen,51.2208644,4.4026215
265,Minderbroedersrui,2000,Antwerpen,51.221483,4.4050686
266,Minderbroedersstraat,2000,Antwerpen,51.2228591,4.4052349
267,Molenbergstraat,2000,Antwerpen,51.2207079,4.4155489
268,Montevideostraat,2000,Antwerpen,51.2329631,4.4039472
269,Montignystraat,2000,Antwerpen,51.2056262,4.3924086
270,Morgenstraat,2000,Antwerpen,51.2263479,4.410802
271,Moriaanstraat,2000,Antwerpen,51.2213534,4.4031185
272,Moriaanstraatje,2000,Antwerpen,51.2215627,4.4031637
273,Muntstraat,2000,Antwerpen,51.2169583,4.3973129
274,Museumstraat,2000,Antwerpen,51.2091885,4.3933583
275,Mutsaardstraat,2000,Antwerpen,51.2230258,4.4059672
276,Namenstraat,2000,Antwerpen,51.208133,4.384774
277,Napelsstraat,2000,Antwerpen,51.2299701,4.4110638
278,Napoleonkaai,2000,Antwerpen,51.2298051,4.4064363
279,Nassaubrug,2000,Antwerpen,51.22940035,4.405485952376696
280,Nassaustraat,2000,Antwerpen,51.2297749,4.4052577
281,Nationalestraat,2000,Antwerpen,51.2186618,4.4010644
282,Nieuwe Gang,2000,Antwerpen,51.2250879,4.4108481
283,Noorderlaan,2000,Antwerpen,51.2307022,4.4132661
284,Nosestraat,2000,Antwerpen,51.2244214,4.4007601
285,Oever,2000,Antwerpen,51.2177345,4.3966239
286,Oostendekaai,2000,Antwerpen,51.2287048,4.4055331
287,Orgelstraat,2000,Antwerpen,51.2157696,4.4079343
288,Orteliuskaai,2000,Antwerpen,51.2261429,4.4003211
289,Ossenmarkt,2000,Antwerpen,51.2218554,4.412985
290,Otto Veniusstraat,2000,Antwerpen,51.2180905,4.4127427
291,Oudaan,2000,Antwerpen,51.2157784,4.403142
292,Oude Beurs,2000,Antwerpen,51.2215182,4.402219
293,Oude Koornmarkt,2000,Antwerpen,51.2193099,4.4004917
294,Oude Waag,2000,Antwerpen,51.2218977,4.4033027
295,Oudeleeuwenrui,2000,Antwerpen,51.2268274,4.4060156
296,Oudemansstraat,2000,Antwerpen,51.2254445,4.4017972
297,Oudevaartplaats,2000,Antwerpen,51.2141523,4.4090766
298,Paardenmarkt,2000,Antwerpen,51.2247054,4.4129634
299,Pachtstraat,2000,Antwerpen,51.2146857,4.3965286
300,Pacificatiestraat,2000,Antwerpen,51.2061565,4.3903463
301,Palingbrug,2000,Antwerpen,51.2224939,4.3986206
302,Pandstraat,2000,Antwerpen,51.2177072,4.4010166
303,Papenstraatje,2000,Antwerpen,51.2199104,4.4008067
